Quote,Detail,Episode Name
" ""In the city, crime is taken as emblematic of class and race. In the suburbs, though, it's intimate and psychological, resistant to generalization, a mystery of the individual soul."" – Barbara Ehrenreich
","Season 3, Episode 4",Children of the Dark
" Dostoevsky once said, ""Nothing is easier than denouncing the evildoer. Nothing more difficult than understanding him.""
","Season 3, Episode 5",Seven Seconds
" G.K. Chesterton wrote, ""Fairy tales do not tell children that dragons exist. Children already know that dragons exist. Fairy tales tell children that dragons can be killed.""
","Season 3, Episode 5",Seven Seconds
" Erasmus wrote, ""What else is the whole life of mortals but a sort of comedy, in which the various actors, disguised by various costumes and masks, walk on and plays each one his part, until the manager waves them off the stage?""
","Season 3, Episode 6",About Face
" ""An earthly kingdom cannot exist without inequality of persons. Some must be free, some serfs, some rulers, some subjects."" – Martin Luther
","Season 3, Episode 7",Identity
" ""Fantasy, abandoned by reason, produces impossible monsters."" – Francisco Goya
","Season 3, Episode 8",Lucky
" 16th century English novelist Thomas Deloney wrote, ""God sends meat and the Devil sends cooks.""
","Season 3, Episode 8",Lucky
" William Shakespeare wrote, ""Love all, trust a few, do wrong to none.""
","Season 3, Episode 9",Penelope
" ""Superman is, after all, an alien life form. He is simply the acceptable face of invading realities."" – Author Clive Barker
","Season 3, Episode 10",True Night
" ""The noir hero is a knight in blood-caked armor. He's dirty and he does his best to deny the fact that he's a hero the whole time."" – Frank Miller
","Season 3, Episode 10",True Night
" The American poet Anne Sexton once wrote, ""It doesn't matter who my father was; it matters who I remember he was.""
","Season 3, Episode 11",Birthright
" Wordsworth wrote, ""A simple child, that lightly draws its breath, and feels its life in every limb, what should it know of death?""
","Season 3, Episode 11",Birthright
" ""No man or woman who tries to pursue an ideal in his or her own way is without enemies."" – Daisy Bates.
","Season 3, Episode 12",3rd Life
" ""It is a wise father who knows his own child."" – William Shakespeare
","Season 3, Episode 12",3rd Life
" ""I know indeed what evil I intend to do, but stronger than all my afterthoughts is my fury, fury that brings upon mortals the greatest evils."" – Euripides
","Season 3, Episode 13",Limelight
" ""For we pay a price for everything we get or take in this world, and, although ambitions are well worth having, they are not to be cheaply won."" – Lucille Maud Montgomery
","Season 3, Episode 13",Limelight
" ""Within the core of each of us is the child we once were. This child constitutes the foundation of what we have become, who we are, and what we will be."" – Neuroscientist Dr. R. Joseph
","Season 3, Episode 14",Damaged
" ""There is no formula for success, except perhaps an unconditional acceptance of life and what it brings."" – Arthur Rubinstein
","Season 3, Episode 14",Damaged
" ""There is no refuge from confession but suicide, and suicide is confession."" – Daniel Webster
","Season 3, Episode 15",A Higher Power
" ""The most authentic thing about us is our capacity to create, to overcome, to endure, to transform, to love, and to be greater than our suffering."" – Ben Okri
","Season 3, Episode 15",A Higher Power
" ""A sad soul can kill you quicker – far quicker – than a germ."" – John Steinbeck
","Season 3, Episode 16",Elephant's Memory
" ""We cross our bridges when we come to them, and burn them behind us with nothing to show for our progress except a memory of the smell of smoke and a presumption that once our eyes watered."" – Tom Stoppard
","Season 3, Episode 16",Elephant's Memory
" ""There are no secrets better kept than the secrets that everybody guesses."" – George Bernard Shaw
","Season 3, Episode 17",In Heat
" ""If we knew each other's secrets, what comforts we should find."" – John Churton Collins
","Season 3, Episode 17",In Heat
" Author Christian Nestell Bovee once wrote, ""No man is happy without a delusion of some kind. Delusions are as necessary to our happiness as realities.""
","Season 3, Episode 18",The Crossing
" Susan B. Anthony said, ""A woman must not depend on the protection of man, but must be taught to protect herself.""
","Season 3, Episode 18",The Crossing
" ""All changes, even the most longed for, have their melancholy; for what we leave behind us is a part of ourselves; we must die to one life before we can enter another."" – Anatole France
","Season 3, Episode 19",Tabula Rasa
" ""What though the radiance that was once so bright, be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, of glory in the flower; We will grieve not, rather find strength in what remains behind."" – William Wordsworth
","Season 3, Episode 19",Tabula Rasa
" Voltaire said, ""The man visited by ecstasies and visions, who takes dreams for realities, is an enthusiast. The man who supports his madness with murder is a fanatic.""
","Season 3, Episode 20",Lo-Fi
" ""Never think that war, no matter how necessary, nor how justified, is not a crime."" – Ernest Hemingway
","Season 4, Episode 1",Mayhem
" ""We all die. The goal isn't to live forever. The goal is to create something that will."" – Chuck Palahniuk
","Season 4, Episode 2",The Angel Maker
" Wendell Berry said, ""The past is our definition. We may strive with good reason to escape it, or to escape what is bad in it. But we will escape it only by adding something better to it.""
","Season 4, Episode 2",The Angel Maker
" ""To follow by faith alone is to follow blindly."" – Benjamin Franklin
","Season 4, Episode 3",Minimal Loss
" ""Reason is not automatic. Those who deny it cannot be conquered by it."" – Ayn Rand
","Season 4, Episode 3",Minimal Loss
" Thomas Fuller wrote, ""A fool's paradise is a wise man's hell.""
","Season 4, Episode 4",Paradise
" Roman poet Phaedrus wrote, ""Things are not always what they seem. The first appearance deceives many. The intelligence of a few perceives what has been carefully hidden.""
","Season 4, Episode 4",Paradise
" ""Plenty sits still; hunger is a wanderer."" – Zulu proverb
","Season 4, Episode 5",Catching Out
" ""Beyond the East the sunrise, beyond the West the sea, and the East and West, the wander thirst that will not let me be."" – Gerald Gould
","Season 4, Episode 5",Catching Out
" Amos Bronson Alcott said, ""Who speaks to the instincts speaks to the deepest in mankind, and finds the readiest response.""
","Season 4, Episode 6",The Instincts
" Bob Dylan once said, ""I think the truly natural things are dreams, which nature can't touch with decay.""
","Season 4, Episode 6",The Instincts
" ""What was silent in the father speaks in the son, and often I've found in the son the unveiled secret of the father."" – Friedrich Nietzsche
","Season 4, Episode 7",Memoriam
" ""There is no refuge from memory and remorse in this world. The spirits of our foolish deeds haunt us, with or without repentance."" – Gilbert Parker
","Season 4, Episode 7",Memoriam
" ""Let us consider that we are all insane. It will explain us to each other. It will unriddle many riddles."" – Mark Twain
","Season 4, Episode 8",Masterpiece
" ""Man must evolve for all human conflict a method which rejects revenge, aggression, and retaliation. The foundation of such a method is love."" – Martin Luther King, Jr.
","Season 4, Episode 8",Masterpiece
" Author Harlan Ellison wrote, ""The minute people fall in love, they become liars.""
","Season 4, Episode 9",52 Pickup
" P.J. O'Rourke said, ""Cleanliness becomes more important when Godliness is unlikely.""
","Season 4, Episode 9",52 Pickup
" ""We are all brothers under the skin and I, for one, would be willing to skin humanity to prove it."" – Ayn Rand
","Season 4, Episode 10",Brothers in Arms
" ""For he today who sheds his blood with me shall be my brother."" – William Shakespeare
","Season 4, Episode 10",Brothers in Arms
" ""Every normal man must be tempted at times to spit on his hands, hoist the black flag and begin to slit throats."" – H.L. Mencken
","Season 4, Episode 11",Normal
" ""There's no tragedy in life like the death of a child. Things never get back to the way they were."" – President Dwight Eisenhower
","Season 4, Episode 11",Normal
" ""No mortal can keep a secret. If his lips are silent, he chatters with his fingertips. Betrayal oozes out of him at every pore."" – Sigmund Freud
","Season 4, Episode 12",Soul Mates
" British historian C. Northcote Parkinson said, ""Delay is the deadliest form of denial.""
","Season 4, Episode 12",Soul Mates
" Winston Churchill said, ""There is no doubt that it is around the family and the home that all the greatest virtues of human society are created, strengthened and maintained.""
","Season 4, Episode 13",Bloodline
" Mario Puzo wrote, ""The strength of a family, like the strength of an army, is in its loyalty to each other.""
","Season 4, Episode 13",Bloodline
" ""...and so all the night tide, I lie down by the side, of my darling, my darling, my life and my bride. In the sepulcher there by the sea, in her tomb by the sounding sea."" – Edgar Allan Poe
","Season 4, Episode 14",Cold Comfort
" ""For those who believe, no proof is necessary. For those who don't believe, no proof is possible."" – Stuart Chase
","Season 4, Episode 14",Cold Comfort
" ""I never teach my pupils; I only attempt to provide the conditions in which they can learn."" – Albert Einstein
","Season 4, Episode 15",Zoe's Reprise
" Austrian novelist Marie Von Ebner-Eschenbach wrote, ""In youth we learn; in age we understand.""
","Season 4, Episode 15",Zoe's Reprise
" ""The prostitute is not, as feminists claim, the victim of men, but rather their conqueror, an outlaw, who controls the sexual channels between nature and culture."" – Camille Paglia
","Season 4, Episode 16",Pleasure Is My Business
" ""You don't pay a prostitute for sex, you pay her to leave afterwards."" – Dashiell Hammett","Season 4, Episode 16",Pleasure Is My Business
"
","Season 4, Episode 16",Pleasure Is My Business
" Leonardo da Vinci said, ""He who does not punish evil, commands it to be done.""
","Season 4, Episode 17",Demonology
" ""There is no heresy or philosophy so abhorrent to the church as a human being."" – James Joyce
","Season 4, Episode 17",Demonology
" ""Fate is not satisfied with inflicting one calamity."" – Roman author Publilius Syrus
","Season 4, Episode 18",Omnivore
" ""Men heap together the mistakes of their lives and create a monster they call destiny."" – John Hobbes
","Season 4, Episode 18",Omnivore
" Tennessee Williams said, ""We all live in a house on fire. No fire department to call, no way out.""
","Season 4, Episode 19",House on Fire
" ""I have loved to the point of madness; that which is called madness, that which to me, is the only sensible way to love."" – Françoise Sagan
","Season 4, Episode 19",House on Fire
" ""Light thinks it travels faster than anything, but it is wrong. No matter how fast light travels, it finds the darkness has always gotten there first, and is waiting for it."" - Terry Pratchett
","Season 4, Episode 20",Conflicted
" Stephen King wrote, ""Monsters are real, and ghosts are real, too. They live inside us. And sometimes, they win.""
","Season 4, Episode 20",Conflicted
" Doctor Berton Grebin once said, ""To lose a child is to lose a piece of yourself.""
","Season 4, Episode 21",A Shade of Gray
" André Maurois wrote, ""Without a family, man, alone in the world, trembles with the cold.""
","Season 4, Episode 21",A Shade of Gray
" ""In order for the light to shine so brightly, the darkness must be present."" - Francis Bacon
","Season 4, Episode 22",The Big Wheel
" ""No matter how dark the moment, love and hope are always possible."" - George Chakiris
","Season 4, Episode 22",The Big Wheel
" ""I'm not sure about automobiles. With all their speed forward, they may be a step backward in civilization."" - Booth Tarkington
","Season 4, Episode 23",Roadkill
" ""The human voice can never reach the distance that is covered by the still, small voice of conscience."" - Mahatma Gandhi
","Season 4, Episode 23",Roadkill
" ""It will become fine dust over all the land of Egypt, and will become boils breaking out with sores on man and beast through all the land of Egypt."" - Exodus 9:9
","Season 4, Episode 24",Amplification
" ""Security is mostly a superstition. It does not exist in nature, nor do the children of men as a whole experience it."" - Helen Keller
","Season 4, Episode 24",Amplification
" Flannery O'Connor said, ""If there were no Hell, we would be like the animals. No Hell, no dignity.""
","Season 4, Episode 25","To Hell and Back, Part 1"
" Karl Kraus said, ""A weak man has doubts before a decision; a strong man has them afterwards.""
","Season 5, Episode 1","Nameless, Faceless"
" Emily Dickinson wrote, ""One need not be a chamber to be haunted. One need not be a house. The brain has corridors surpassing material places.""
","Season 5, Episode 2",Haunted
" ""There is no witness so dreadful, no accuser so terrible, as the conscience that dwells in the heart of every man."" - Polybius
","Season 5, Episode 2",Haunted
" ""Justice without force is powerless. Force without justice is tyrannical."" - Blaise Pascal
","Season 5, Episode 3",Reckoner
" ""I have always found that mercy bears richer fruit than strict justice."" - Abraham Lincoln
","Season 5, Episode 3",Reckoner
" Kingman Brewster, Jr. said, ""There is no lasting hope in violence, only temporary relief from hopelessness.""
","Season 5, Episode 4",Hopeless
" William Shakespeare wrote, ""These violent delights have violent ends.""
","Season 5, Episode 4",Hopeless
" Journalist William D. Tammeus wrote, ""You don't really understand human nature unless you know why a child on a merry-go-round will wave at his parents every time around and why his parents will always wave back.""
","Season 5, Episode 5",Cradle to Grave
" ""And if thy right eye offend thee, pluck it out and cast it from thee."" - Matthew 5:29
","Season 5, Episode 6",The Eyes Have It
" ""Dwell in peace in the home of your own being and the messenger of death will not be able to touch you."" - Guru Nanak
","Season 5, Episode 6",The Eyes Have It
" ""In all the darkest pages of the malign supernatural, there is no more terrible tradition than that of the vampire - a pariah even among demons."" - Writer Montague Summers
","Season 5, Episode 7",The Performer
" Writer Cyril Connolly said, ""Better to write for yourself and have no public than to write for the public and have no self.""
","Season 5, Episode 7",The Performer
" ""Man usually avoids attributing cleverness to somebody else, unless it's an enemy."" - Albert Einstein
","Season 5, Episode 8",Outfoxed
" ""He who fights with monsters might take care, lest he thereby become a monster. And if you gaze for long into an abyss, the abyss gazes also into you."" – Friedrich Nietzsche
","Season 5, Episode 9",100
" Poet Haniel Long said, ""So much of what is best in us is bound up in our love of family that it remains the measure of our stability because it measures our sense of loyalty.""
","Season 5, Episode 9",100
" W.S. Gilbert wrote, ""It's love that makes the world go 'round.""
","Season 5, Episode 10",The Slave of Duty
" ""Where we love is home, home that our feet may leave, but not our hearts."" – Oliver Wendell Holmes
","Season 5, Episode 10",The Slave of Duty
" ""What lies behind us and what lies before us are tiny matters compared to what lies within us."" – Ralph Waldo Emerson
","Season 5, Episode 10",The Slave of Duty
" ""Men are more ready to repay an injury than a benefit because gratitude is a burden and revenge a pleasure."" – Tacitus
","Season 5, Episode 11",Retaliation
" Washington Irving said, ""There is a sacredness in tears. They are not a mark of weakness, but of power. They are messengers of overwhelming grief and of unspeakable love.""
","Season 5, Episode 11",Retaliation
" Mildred Lisette Norman wrote, ""Anything you cannot relinquish, when it has outlived its usefulness, possesses you. And in this materialistic age, a great many of us are possessed by our possessions.""
","Season 5, Episode 12",The Uncanny Valley
" Isaac Asimov wrote, ""In life, unlike chess, the game continues after checkmate.""
","Season 5, Episode 12",The Uncanny Valley
" ""Life is a game. Play it. Life is too precious. Do not destroy it."" - Mother Teresa
","Season 5, Episode 13",Risky Business
" ""Experience is a brutal teacher, but you learn. My God, do you learn."" - C.S. Lewis
","Season 5, Episode 13",Risky Business
" ""If I am what I have, and if I lose what I have, who, then, am I?"" - German psychologist Erich Fromm
","Season 5, Episode 14",Parasite
" ""Oh, what a tangled web we weave when first we practice to deceive."" - Sir Walter Scott
","Season 5, Episode 14",Parasite
" ""Show me a hero, and I will write you a tragedy."" - F. Scott Fitzgerald
","Season 5, Episode 15",Public Enemy
" William Shakespeare said, ""When a father gives to his son, both laugh; when his son gives to his father, both cry.""
","Season 5, Episode 15",Public Enemy
" Nietzsche wrote, ""Hope is the worst of evils, for it prolongs the torment of man.""
","Season 5, Episode 16",Mosley Lane
" Emily Dickinson wrote, ""Hope is the thing with feathers, that perches in the soul, and sings the tune without words, and never stops at all.""
","Season 5, Episode 16",Mosley Lane
" Tennessee Williams said, ""We're all of us sentenced to solitary confinement inside our own skins, for life.""
","Season 5, Episode 17",Solitary Man
" Christopher Lasch said, ""Family is a haven in a heartless world.""
","Season 5, Episode 17",Solitary Man
" Mother Teresa said, ""I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.""
","Season 5, Episode 18",The Fight
" ""A lion's work hours are only when he's hungry; once he's satisfied, the predator and prey live peacefully together."" - Chuck Jones
","Season 5, Episode 19",A Rite of Passage
" ""Many persons have the wrong idea of what constitutes true happiness. It is not attained through self-gratification but through fidelity to a worthy purpose."" - Helen Keller
","Season 5, Episode 19",A Rite of Passage
" ""A sincere artist tries to create something which is, in itself, a living thing."" - Painter William Dobell
","Season 5, Episode 20",...A Thousand Words
" Gandhi said, ""I have seen children successfully surmount the effects of an evil inheritance. That is due to purity being an inherent attribute of the soul.""
","Season 5, Episode 20",...A Thousand Words
" ""Nature, in her most dazzling aspects or stupendous parts, is but the background and theater of the tragedy of man."" - John Morley
","Season 5, Episode 21",Exit Wounds
" Ralph W. Sockman said, ""Nothing is so strong as gentleness, and nothing is so gentle as real strength.""
","Season 5, Episode 21",Exit Wounds
" ""The single biggest problem with communication is the illusion that it has taken place."" - George Bernard Shaw
","Season 5, Episode 22",The Internet Is Forever
" ""The Internet is the first thing that humanity has built that humanity doesn't understand, the largest experiment in anarchy that we have ever had."" - Eric Schmidt
","Season 5, Episode 22",The Internet Is Forever
" Alfred Lord Tennyson wrote, ""And out of the darkness came the hands that reach thro' nature, moulding men.""
","Season 5, Episode 23",Our Darkest Hour
" ""A family is a place where minds come in contact with one another. If these minds love one another the home will be as beautiful as a flower garden. But if these minds get out of harmony with one another it is like a storm that plays havoc with the garden."" The Buddha.
","Season 6, Episode 1",The Longest Night
" Jean Racine said, ""A tragedy need not have blood and death. It's enough that it all be filled with that majestic sadness that is the pleasure of tragedy.""
","Season 6, Episode 2",J.J.
" Marcel Proust wrote, ""Remembrance of things past is not necessarily the remembrance of things as they were.""
","Season 6, Episode 3",Remembrance of Things Past
" Mark Twain wrote, ""When I was younger I could remember anything, whether it had happened or not. But my faculties are decaying now... and soon I shall be so I cannot remember anything but the things that never happened. It is sad to go to pieces like this, but we all have to do it.""
","Season 6, Episode 3",Remembrance of Things Past
" Abraham Lincoln said, ""Whatever you are, be a good one.""
","Season 6, Episode 4",Compromising Positions
" ""We all wear masks, and the time comes when we cannot remove them without removing our own skin."" Andre Berthiaume
","Season 6, Episode 4",Compromising Positions
" ""All humanity is one undivided and indivisible family. I cannot detach myself from the wickedest soul."" Mahatma Gandhi
","Season 6, Episode 5",Safe Haven
" ""But I have promises to keep, and miles to go before I sleep, and miles to go before I sleep."" Robert Frost
","Season 6, Episode 5",Safe Haven
" Niccolò Machiavelli wrote, ""If an injury has to be done to a man it should be so severe that his vengeance need not be feared.""
","Season 6, Episode 6",Devil's Night
" Thomas Kemp wrote, ""Love feels no burden, thinks nothing of its trouble, attempts what is above it's strength, pleads no excuse for impossibility, for it thinks all things are lawful for itself and all things are possible.""
","Season 6, Episode 6",Devil's Night
" ""The herd seek out the great, not for their sake but for their influence; and the great welcome them out of vanity or need."" Napoleon Bonaparte
","Season 6, Episode 7",Middle Man
" ""Without heroes, we are all plain people and don't know how far we can go."" Bernard Malamud
","Season 6, Episode 7",Middle Man
" ""Fame will go by and, so long, I've had you, fame. If it goes by, I've always known it was fickle. So at least it's something I experience, but that's not where I live."" Marilyn Monroe
","Season 6, Episode 8",Reflection of Desire
" ""I believe humanity was born from conflict. Maybe that's why in all of us lives a dark side. Some of us embrace it. Some have no choice. The rest of us fight it. In the end, it's as natural as the air we breathe. At some point, all of us are forced to face the truth. Ourselves.""
","Season 6, Episode 8",Reflection of Desire
" Ralph Ellison said, ""I am invisible, understand, simply because people refuse to see me.""
","Season 6, Episode 9",Into the Woods
" Elise Cabot said, ""Evil endures a moment's flush, and then leaves but a burnt out shell.""
","Season 6, Episode 9",Into the Woods
" ""When we were children, we used to think when we grew up we would no longer be vulnerable. But to grow up is to accept vulnerability. To be alive is to be vulnerable."" Writer Madeleine L'Engle
","Season 6, Episode 10",What Happens at Home
" ""Children begin by loving their parents; as they grow older they judge them; sometimes they forgive them."" Writer Oscar Wilde
","Season 6, Episode 10",What Happens at Home
" ""There is no such thing as part freedom."" Nelson Mandela
","Season 6, Episode 11",25 to Life
" ""All truths are easy to understand once they are discovered; the point is to discover them."" Galileo
","Season 6, Episode 11",25 to Life
" ""No man chooses evil because it is evil. He only mistakes it for happiness, the good he seeks."" Mary Wollstonecraft Shelley
","Season 6, Episode 12",Corazón
" ""The best and most beautiful things in life cannot be seen or even touched. They must be felt with the heart."" Helen Keller
","Season 6, Episode 12",Corazón
" Friedrich Nietzsche wrote, ""What really raises one's indignation against suffering is not suffering intrinsically, but the senselessness of suffering.""
","Season 6, Episode 13",The Thirteenth Step
" William Glasser wrote, ""What happened in the past that was painful has a great deal to do with what we are today.""
","Season 6, Episode 13",The Thirteenth Step
" ""Hunting is not a sport. In a sport, both sides should know they are in the game."" Comedian Paul Rodriguez
","Season 6, Episode 14",Sense Memory
" ""Nothing revives the past so completely as a smell that was once associated with it."" Novelist Vladimir Nabokov
","Season 6, Episode 14",Sense Memory
" ""It is hard to fight an enemy who has outposts in your head."" Sally Kempton
","Season 6, Episode 15",Today I Do
" ""There is no chance, no destiny, no fate that can hinder the firm resolve of a determined soul."" Ella Wheeler Wilcox
","Season 6, Episode 15",Today I Do
" ""Tomorrow, you promise yourself, will be different, yet, tomorrow is too often a repetition of today."" Author James T. McCay
","Season 6, Episode 16",Coda
" Honoré de Balzac once said, ""Most people of action are inclined to fatalism and most people of thought believe in providence.""
","Season 6, Episode 16",Coda
" Lao Tzu said, ""When I let go of what I am, I become what I might be.""
","Season 6, Episode 17",Valhalla
" Journalist Dorothy Dix wrote, ""Confession is always weakness. The grave soul keeps its own secrets and takes its own punishment in silence.""
","Season 6, Episode 17",Valhalla
" ""The secret to getting away with lying is believing with all your heart. That goes for lying to yourself even moreso than lying to another."" Author Elizabeth Bear
","Season 6, Episode 18",Lauren
" Psychoanalyst Walter Langer wrote, ""People will believe a big lie sooner than a little one, and if you repeat it frequently enough, people will sooner or later believe it.""
","Season 6, Episode 18",Lauren
" Lizette Reese wrote, ""The old faiths light their candles all about, but burly truth comes by and puts them out.""
","Season 6, Episode 19",With Friends Like These...
" Siddharta Buddha said, ""It is not his enemy or foe that lures him to evil ways.""
","Season 6, Episode 19",With Friends Like These...
" Poet Antonio Porchia wrote, ""Man when he does not grieve, hardly exists.""
","Season 6, Episode 20",Hanley Waters
" Stephen King wrote, ""Sometimes human places breed inhuman monsters.""
","Season 6, Episode 21",The Stranger
" ""Every journey into the past is complicated by delusions, false memories, false namings of real events."" Adrienne Rich
","Season 6, Episode 21",The Stranger
" Agathon said, ""Of this alone, even God is deprived, the power of making things that are past never to have been.""
","Season 6, Episode 22",Out of the Light
" Doménico Cieri Estrada wrote, ""Bring the past only if you're going to build from it.""
","Season 6, Episode 22",Out of the Light
" ""The sea has never been friendly to man. At most, it has been the accomplice of human restlessness."" Joseph Conrad
","Season 6, Episode 23",Big Sea
" ""We are tied to the ocean. And when we go back to the sea, whether it is to sail or to watch, we are going back from whence we came."" John F. Kennedy
","Season 6, Episode 23",Big Sea
" Thomas Hardy wrote, ""And yet to every bad there is a worse.""
","Season 6, Episode 24",Supply and Demand
" ""What it lies in our power to do, it lies in our power not to do."" Aristotle
","Season 6, Episode 24",Supply and Demand
" Queen Elizabeth I said, ""The past cannot be cured.""
","Season 7, Episode 1",It Takes a Village
" ""I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter. So help me God."" — The FBI Oath of Office
","Season 7, Episode 1",It Takes a Village
" ""If it is a miracle, any sort of evidence will answer, but if it is a fact, proof is necessary."" — Mark Twain
","Season 7, Episode 2",Proof
" Scott Adams wrote, ""Nothing inspires forgiveness quite like revenge.""
","Season 7, Episode 2",Proof
" ""Men are not prisoners of fate, but only prisoners of their own minds."" — Franklin D. Roosevelt
","Season 7, Episode 3",Dorado Falls
" ""We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone."" — Orson Welles
","Season 7, Episode 3",Dorado Falls
" ""You may leave school, but it never leaves you."" — Andy Partridge
","Season 7, Episode 4",Painless
" ""Your pain is the breaking of the shell that encloses your understanding."" — Khalil Gibran
","Season 7, Episode 4",Painless
" ""From childhood's hour I have not been as others were; I have not seen as others saw."" — Edgar Allan Poe
","Season 7, Episode 5",From Childhood's Hour
" ""All things truly wicked start from an innocence."" — Ernest Hemingway
","Season 7, Episode 5",From Childhood's Hour
" ""To die is poignantly bitter, but the idea of having to die without having lived is unbearable."" — Erich Fromm
","Season 7, Episode 6",Epilogue
" ""The timing of death, like the ending of a story, gives a changed meaning to what preceded it."" — Mary Catherine Bateson
","Season 7, Episode 6",Epilogue
" ""For the man sound in body and serene of mind there is no such thing as bad weather. Every day has its beauty, and storms which whip the blood do but make it pulse more vigorously."" — George Gissing
","Season 7, Episode 7",There's No Place Like Home
" ""Adversity is like a strong wind. It tears away from us all but the things that cannot be torn, so that we see ourselves as we really are."" — Arthur Golden
","Season 7, Episode 7",There's No Place Like Home
" ""Hope is faith holding out its hand in the dark."" — George Iles
","Season 7, Episode 8",Hope
" ""Find a place inside where there's joy, and the joy will burn out the pain."" — Joseph Campbell
","Season 7, Episode 8",Hope
" ""Things do not change. We change."" — Henry David Thoreau
","Season 7, Episode 9",Self-Fulfilling Prophecy
" ""Beware, so long as you live, of judging men by their outward appearance."" — Jean de la Fontaine
","Season 7, Episode 9",Self-Fulfilling Prophecy
" ""Everybody wants to go to heaven, but no one wants to die."" — Joe Lewis
","Season 7, Episode 10",The Bittersweet Science
" Hermann Hesse wrote, ""Some of us think that holding on makes us strong, but sometimes it is letting go.""
","Season 7, Episode 10",The Bittersweet Science
" ""Three can keep a secret, if two of them are dead."" — Benjamin Franklin
","Season 7, Episode 11",True Genius
" ""There is no greater sorrow than to recall in misery the time when we were happy."" — Dante
","Season 7, Episode 11",True Genius
" ""We do not suffer from the shock of our trauma, but we make out of it just what suits our purposes."" — Alfred Adler
","Season 7, Episode 12",Unknown Subject
" ""All the art of living lies in a fine mingling of letting go and holding on."" — Henry Ellis
","Season 7, Episode 12",Unknown Subject
" A Chinese proverb says, ""At the gambling table, there are no fathers and sons.""
","Season 7, Episode 13",Snake Eyes
" George Augustus Sala said, ""A gambler with a system must be, to a greater or lesser extent, insane.""
","Season 7, Episode 13",Snake Eyes
" ""Trust not him that has once broken faith."" — William Shakespeare
","Season 7, Episode 14",Closing Time
" ""You may be deceived if you trust too much, but you will live in torment if you don't trust enough."" — Frank Crane
","Season 7, Episode 14",Closing Time
" ""Equality may perhaps be a right, but no power on earth can ever turn it into a fact."" — Honore de Balzac
","Season 7, Episode 15",A Thin Line
" ""I'm for truth, no matter who tells it. I'm for justice, no matter who it's for or against."" — Malcolm X
","Season 7, Episode 15",A Thin Line
" Eckhart Tolle said, ""Where there is anger, there is always pain underneath.""
","Season 7, Episode 16",A Family Affair
" ""Live so that when your children think of fairness and integrity, they think of you."" — H. Jackson Brown, Jr.
","Season 7, Episode 16",A Family Affair
" ""It was once said that love is giving someone the power to destroy you, but trusting them not to.""
","Season 7, Episode 17","I Love You, Tommy Brown"
" ""For every good reason there is to lie, there is a better reason to tell the truth."" — Bo Bennett
","Season 7, Episode 17","I Love You, Tommy Brown"
" ""Memory is a complicated thing, a relative to truth but not its twin."" — Barbara Kingsolver
","Season 7, Episode 18",Foundation
" ""Nothing fixes a thing so intensely in the memory as the wish to forget it."" — Michel de Montaigne
","Season 7, Episode 18",Foundation
" ""We are each our own devil, and we make this world our hell."" — Oscar Wilde
","Season 7, Episode 19",Heathridge Manor
" ""All that we see or seem, is but a dream within a dream."" — Edgar Allen Poe
","Season 7, Episode 19",Heathridge Manor
" ""Worse than telling a lie is spending your whole life staying true to a lie."" – Robert Brault
","Season 7, Episode 20",The Company
" ""Sooner murder an infant in its cradle than nurse un-acted desires."" — William Blake
","Season 7, Episode 21",Divining Rod
" ""It is only in love and in murder that we still remain sincere."" — Friedrich Dürrenmatt
","Season 7, Episode 21",Divining Rod
" The philosopher Voltaire wrote, ""To the living, we owe respect. But to the dead, we owe only the truth.""
","Season 7, Episode 22",Profiling 101
" Irish statesman and author Edmund Burke once wrote, ""The only thing necessary for the triumph of evil is for good men to do nothing.""
","Season 7, Episode 22",Profiling 101
" ""Fear is met and destroyed with courage."" — James F. Bell
","Season 7, Episode 23",Hit
" ""I've always heard every ending is also a beginning. We just don't know it at the time. I'd like to believe that's true.""
","Season 7, Episode 24",Run
" ""As I grow older, I pay less attention to what men say. I just watch what they do."" — Andrew Carnegie
","Season 8, Episode 1",The Silencer
" ""A man is known by the silence he keeps."" — Oliver Herford
","Season 8, Episode 1",The Silencer
" Ralph Steadman wrote, ""Evil is always devising more corrosive misery through man's restless need to exact revenge out of his hate.""
","Season 8, Episode 2",The Pact
" Paul Brown once said, ""If you win, say nothing. If you lose, say less.""
","Season 8, Episode 2",The Pact
" The German author Goethe wrote, ""Behavior is the mirror in which everyone shows their true image.""
","Season 8, Episode 3",Through the Looking Glass
" ""One of the deep secrets of life is that all that is really worth the doing is what we do for others."" — Lewis Carroll
","Season 8, Episode 3",Through the Looking Glass
": Sir Arthur Conan Doyle wrote, ""When a doctor does go wrong, he's the first of criminals. He has the nerve and he has knowledge.""
","Season 8, Episode 4",God Complex
": ""Body and soul cannot be separated for purposes of treatment, for they are one and indivisible. Sick minds must be healed as well as sick bodies."" — Dr. Jeff Miller
","Season 8, Episode 4",God Complex
